SSC ID,Station Name,Country,Latitude,Longitude,IOC code,PTWC code,GLOSS ID,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit
SSC-amma,Ammassalik,Denmark,65.5,-37.0,,,228.0,297,1765,2207,2483,[details],[edit]
SSC-amru,Amrum (Wittduen),Germany,54.62,8.38,,,,,1036,,,[details],[edit]
SSC-amua,Amuay,Venezuela,11.75,-70.22,,,,,706,,,[details],[edit]
SSC-anab,Anabar,Russia,73.22,113.5,,,,,1780,,,[details],[edit]
SSC-anca,Ancona,Italy,43.62,13.51,AN15,,,,"101, 2098",3153,"3151, 3152",[details],[edit]
SSC-anch,Anchorage,United States,61.24,-149.89,"anch, anch2",anch,,,1067,1897,2104,[details],[edit]
SSC-ancu,Ancud,Chile,-41.87,-73.83,"ancu, ancu2",ancu,,,,,,[details],[edit]
SSC-ande,Andenes,Norway,69.32,16.15,ande,,322.0,800,425,3573,2263,[details],[edit]
SSC-andr,Andreia (Andreia Ostrov),Russia,76.8,110.75,,,,,646,,,[details],[edit]
SSC-anew,Anewa Bay,Papua New Guinea,-6.18,155.88,,,,48,1227,,,[details],[edit]
SSC-angl,Angler Bank,Singapore,1.35,104.03,,,,,1376,,,[details],[edit]
SSC-angr,Angra Heroismo,Portugal,38.65,-27.23,,,,215,380,2504,2505,[details],[edit]
SSC-anhe,Anheung,South Korea,36.67,126.13,,,,,1699,,,[details],[edit]
SSC-anka,Luka Koper,Slovenia,45.57,13.75,,,,,"1009, 1817",,,[details],[edit]
SSC-anna,Annapolis,United States,38.98,-76.48,,anmd,,,311,"1874, 1875, 3522, 896","2372, 2767",[details],[edit]
SSC-ansa,Ansan,South Korea,37.19,126.65,,,,,1922,,,[details],[edit]
SSC-anta,Antalya,Turkey,36.88,30.7,,,,,"1681, 400",2019,2158,[details],[edit]
SSC-antc,Antuco,Chile,-37.34,-71.53,,,,,,2406,,[details],[edit]
SSC-antf,DART4G_Antofagasta,Chile,-23.2,-72.0,,dch2,,,,,,[details],[edit]
SSC-anti,Antipaiuta,Russia,69.08,76.85,,,,,1128,,,[details],[edit]
SSC-antil,Antifer,France,49.65,0.15,,,,,1383,3548,3547,[details],[edit]
SSC-anto,Antofagasta,Chile,-23.65,-70.4,"anto, anto2",anto,174.0,80,"510, 511",2608,"2607, 2753",[details],[edit]
SSC-antoe,Antonio Enes,Mozambique,-16.23,39.9,,,,191,1986,,,[details],[edit]
SSC-antw,Antwerpen (Anvers),Belgium,51.23,4.42,,,,,293,,,[details],[edit]
SSC-anzio,Anzio,Italy,41.45,12.63,AZ42,,,,2136,,,[details],[edit]
SSC-aomo,Aomori,Japan,40.84,140.76,,,,,1092,,,[details],[edit]
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,[details],[edit]
SSC-apla,"Amerada Pass, LA",United States,29.45,-91.34,"apla, apla2",apla,,,,,,[details],[edit]
SSC-arab,Arabiyah Island,Saudi Arabia,27.78,50.18,,,,,1649,,,[details],[edit]
SSC-arac,Arecibo,Puerto Rico,18.48,-66.7,"arac, aracS",arec,,735,2213,,,[details],[edit]
SSC-aracy,"Araceli, Dumarin Island",Philippines,10.58,119.98,,,,,191,,,[details],[edit]
SSC-arca,Arcachon Eyrac,France,44.67,-1.16,arca,,,,1918,3191,1724,[details],[edit]
SSC-ardr,Ardrossan,Australia,-34.43,137.92,,,,,632,,,[details],[edit]
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,[details],[edit]
SSC-arenu,Arendal,Norway,58.45,8.78,,,,,67,,,[details],[edit]
SSC-areq,Arequipa Laser Station,Peru,-16.47,-71.49,,,,,,628,,[details],[edit]
SSC-arge,Argentia,Canada,47.3,-53.98,,,,,1321,,,[details],[edit]
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,[details],[edit]
SSC-arin,Arinaga,Spain,27.85,-15.4,,,,,2049,3137,3136,[details],[edit]
SSC-arko,Arkona,Germany,54.68,13.43,,,,,56,,,[details],[edit]
SSC-army,"Army Depot, Cooper R.",United States,32.91,-79.95,,,,,1728,,,[details],[edit]
SSC-arna,Arnavutkoy,Turkey,41.07,29.05,,,,,1958,,,[details],[edit]
SSC-aror,Arorae,Kiribati,-2.62,176.83,,,,,906,,,[details],[edit]
SSC-arrc,Arraial do Cabo,Afghanistan,-22.97,-42.01,arrc,,,,,,,[details],[edit]
SSC-arre,Arrecife,Spain,28.97,-13.53,arre,,,205,"2066, 593",,,[details],[edit]
SSC-arrec,Arrecife-a,Spain,28.95,-13.57,,,,205,"1362, 1710, 943",3133,3132,[details],[edit]
SSC-arti,Artigas,Antarctica,-62.18,-58.87,,,,,1729,,,[details],[edit]
SSC-artu,Arti,Russia,56.43,58.56,,,,,,629,,[details],[edit]
SSC-asam,Asamushi,Japan,40.9,140.86,,,,,721,774,2305,[details],[edit]
SSC-ascen,Ascension,United Kingdom,-7.92,-14.42,ascen,ascn,263.0,291,1831,630,1971,[details],[edit]
SSC-ashd,Ashdod Port,Israel,31.83,34.64,ashd,,,,"2219, 855",2021,"2180, 3502",[details],[edit]
SSC-ashk,Ashkhara,Oman,21.85,59.57,ashk,ashk,,,,,,[details],[edit]
SSC-askl,Ashkelon,Israel,31.63,34.49,askl,,,,2220,,,[details],[edit]
SSC-asto,Astoria,United States,46.21,-123.77,"asto, asto2",asto,,572,265,"2093, 2690, 2691, 675",2176,[details],[edit]
SSC-atic,Atico,Peru,-16.23,-73.69,atic,atic,,,,,,[details],[edit]
SSC-atka,Atka,United States,52.23,-174.17,atka,atka,,,,,,[details],[edit]
SSC-auct,Auckland-Waitemata Hbr.,New Zealand,-36.51,174.46,auct,auct,127.0,70,"150, 217","2545, 632, 932","2336, 2745",[details],[edit]
SSC-avei,Aveiro,Portugal,40.65,-8.75,,,,,1402,,,[details],[edit]
SSC-avon,Avonmouth Portbury,United Kingdom,51.5,-2.73,avon,,,,"2011, 257",,,[details],[edit]
SSC-awas,Awa Sima,Japan,38.47,139.26,,,,,1093,,,[details],[edit]
SSC-ayuk,Ayukawa,Japan,38.3,141.51,,,,,131,,,[details],[edit]
SSC-bahi,Bahia Los Angeles,Mexico,28.97,-113.55,,,,310,1357,3595,3594,[details],[edit]
SSC-baie,Baie Comeau,Canada,49.23,-68.13,,,,,1218,3054,3053,[details],[edit]
SSC-bajo,Bajor,Indonesia,-0.68,117.42,,,,414,,,,[details],[edit]
SSC-baka,Bakar,Croatia,45.3,14.53,,,,,353,,,[details],[edit]
SSC-bake,Baker Lake,Canada,64.32,-96.0,,,,,,2407,,[details],[edit]
SSC-bala,Balabac,Philippines,7.98,117.07,,,,,1976,,,[details],[edit]
SSC-balaq,"Balanacan, Marinduque",Philippines,13.53,121.87,,,,,2157,,,[details],[edit]
SSC-balb,Balboa,Panama,8.97,-79.6,,,168.0,302,163,,2855,[details],[edit]
SSC-bali,Balikpapan,Indonesia,-1.27,116.8,,,,411,,,,[details],[edit]
SSC-baliu,"Balintang, Quezon, Palawan",Philippines,9.35,118.13,,,,,2155,,,[details],[edit]
SSC-ball,Ballyglass pier,Ireland,54.25,-9.89,ball,,,,,,,[details],[edit]
SSC-balls,Ballina,Australia,-28.87,153.58,,,,,319,,,[details],[edit]
SSC-balt,Baltra,Ecuador,-0.43,-90.28,balt,balt,169.0,3,"1226, 1645",,,[details],[edit]
SSC-bama,Bamaga,Australia,-10.85,142.37,,,,,1189,,,[details],[edit]
SSC-bamd,Baltimore,United States,39.27,-76.58,"bamd, bamd2",bamd,,,148,"2704, 3059",2703,[details],[edit]
SSC-bame,Bar Harbor,United States,44.39,-68.21,"bame, bame2",bame,,,525,635,2353,[details],[edit]
SSC-bamf,Bamfield,Canada,48.84,-125.14,bamf,,,,1242,3023,3022,[details],[edit]
SSC-bang,Bangor,United Kingdom,54.66,-5.67,bang,,,,1856,,,[details],[edit]
SSC-bangw,Bangkok Bar,Thailand,13.45,100.6,,,,,287,,,[details],[edit]
SSC-banj,Banjarmasin,Indonesia,-3.3,114.6,,,,,307,,,[details],[edit]
SSC-banl,Bangalore,Indonesia,13.03,77.51,,,,,,2409,,[details],[edit]
SSC-bany,Banyuls,France,42.48,3.12,,,,,1202,,,[details],[edit]
SSC-bara,Barahona,Dominican Republic,18.21,-71.09,bara,bara,,,745,3554,3553,[details],[edit]
SSC-barag,Baracoa,Cuba,20.35,-74.5,,,,,592,,,[details],[edit]
SSC-barb,Barbuda,Antigua and Barbuda,17.59,-61.82,"barb, barb2",barb,,,,,,[details],[edit]
SSC-barc,Barcelona,Spain,41.34,2.16,barc,,,,1811,3533,3532,[details],[edit]
SSC-bare,Barentsburg,Russia,78.07,14.25,,,231.0,,"541, 547",,2878,[details],[edit]
SSC-barii,Bari,Italy,41.14,16.87,BA05,,,,2075,,,[details],[edit]
SSC-barm,Barmouth,United Kingdom,52.72,-4.05,barm,,,,1771,,,[details],[edit]
SSC-barn,Burnie,Australia,-41.05,145.92,barn,barn,,,"683, 691","2056, 2057",2178,[details],[edit]
SSC-baro,Bar,Montenegro,42.08,19.08,,,,,1075,,,[details],[edit]
SSC-barr,Barrow,United Kingdom,54.08,-3.2,,,,,"1904, 1905, 1998",,,[details],[edit]
SSC-bars,Barseback,Sweden,55.76,12.9,,,,,2109,2077,2327,[details],[edit]
SSC-basr,Basrah,Iraq,30.52,47.85,,,,,220,,,[details],[edit]
SSC-bass,Basseterre (Coast Guard Base),Saint Kitts and Nevis,17.29,-62.71,bass,bass,,,2004,,,[details],[edit]
SSC-basst,Bass Harbour,Malaysia,6.3,99.78,,,,,1967,,,[details],[edit]
SSC-bati,Batiscan,Canada,46.5,-72.25,,,,,144,,,[details],[edit]
SSC-batu,Batumi,Georgia,41.63,41.7,,,,,51,,,[details],[edit]
SSC-batuu,"Batuan Bay, Tikao",Philippines,12.42,123.78,,,,,296,,,[details],[edit]
SSC-bayg,Bay Gardene,United States,29.6,-89.62,,,,,1727,,,[details],[edit]
SSC-bbbc,Bella Bella,Canada,52.16,-128.14,bbbc,bbbc,,,,,,[details],[edit]
SSC-bdto,Bocas Del Toro,Panama,9.35,-82.26,bdto,bdto,,,,,,[details],[edit]
SSC-beac,Beachport,Australia,-37.5,140.0,,,,,304,,,[details],[edit]
SSC-beau,Beaufort,United States,32.43,-80.67,,,,,1537,,,[details],[edit]
SSC-beca,Becancour,Canada,46.4,-72.38,,,,,1798,,,[details],[edit]
SSC-beih,Beihai,China,21.48,109.08,,,,636,1408,,,[details],[edit]
SSC-beir,Beira,Mozambique,-19.82,34.83,,,,,1888,,,[details],[edit]
SSC-bela,Belawan,Indonesia,3.92,98.72,,,,,276,,,[details],[edit]
SSC-bele,Belem,Brazil,-1.45,-48.5,,,,229,580,2999,2998,[details],[edit]
SSC-belf,Belfast,United Kingdom,54.6,-5.92,,,,,"219, 861",,,[details],[edit]
SSC-belg,"Belgrano, Bahia Blanca",Argentina,-38.88,-62.1,,,,,198,926,2340,[details],[edit]
SSC-beli,Belize,Belize,17.5,-88.18,,,,781,1085,,,[details],[edit]
SSC-bell,Bella Bella,Canada,52.17,-128.13,,,,,984,3209,3208,[details],[edit]
SSC-belle,Belledune,Canada,47.9,-65.85,,,,,2069,,,[details],[edit]
SSC-bellm,Bella Coola,Canada,52.37,-126.78,,,,,1084,,,[details],[edit]
SSC-bely,Belyi Nos,Russia,69.6,60.22,,,,,859,,,[details],[edit]
SSC-benc,Beaufort,United States,34.72,-76.67,"benc, benc2",benc,,,719,,,[details],[edit]
SSC-beng,Bengkulu,Indonesia,-3.78,102.25,,,,,273,,,[details],[edit]
SSC-bengh,Bengkalis,Indonesia,1.47,102.13,,,,,346,,,[details],[edit]
SSC-beno,Benoa,Indonesia,-8.77,115.22,beno,beno,49.0,163,"1738, 2200","2945, 3404","2812, 3585",[details],[edit]
SSC-berg,Bergen,Norway,60.4,5.32,,,,,58,,,[details],[edit]
SSC-berl,Berlevag,Norway,70.85,29.1,,,,,442,,,[details],[edit]
SSC-berm,Bermagui,Australia,-36.42,150.07,,,,,1977,,,[details],[edit]
SSC-bgct,Bridgeport,United States,41.17,-73.18,"bgct, bgct2",bgct,,,1068,,,[details],[edit]
SSC-bhau,Bhaunagari,India,21.8,72.3,,,,,"420, 804",,,[details],[edit]
SSC-bhmd,Bishops Head,United States,38.22,-76.04,,bhmd,,,,,,[details],[edit]
SSC-bilb,Bilbao,Spain,43.36,-3.05,bil3,,,,1806,3467,3466,[details],[edit]
SSC-bili,Bilibino,Russia,68.08,166.44,,,,,,636,,[details],[edit]
SSC-bill,Billinga,Russia,69.88,175.77,,,,,708,,,[details],[edit]
SSC-bint,Bintulu,Malaysia,3.22,113.07,,,,387,1833,"3374, 919",2325,[details],[edit]
SSC-biri,"Biri Island, Samar",Philippines,12.65,124.37,,,,,297,,,[details],[edit]
SSC-bitu,Bitung,Indonesia,1.44,125.19,bitu,bitg,69.0,33,"1709, 308","3215, 3405",2822,[details],[edit]
SSC-bjfs,Beijing Fangshan,China,39.61,115.89,,,,,,637,,[details],[edit]
SSC-bjor,Bjornoya,Norway,74.43,19.17,,,232.0,,,,,[details],[edit]
SSC-bjorl,Bjorn,Sweden,60.63,17.97,,,,,90,,,[details],[edit]
SSC-blac,Blacktoft,United Kingdom,53.68,-0.7,,,,,1436,,,[details],[edit]
SSC-blnj,Burlington,United States,40.08,-74.87,,blnj,,,,,,[details],[edit]
SSC-blow,Blowing point,Anguilla,18.17,-63.09,blow,blow,,,,,,[details],[edit]
SSC-blri,Prudence Island,United States,41.6,-71.3,blri,blri,,,,,,[details],[edit]
SSC-blueb,Blue Bay,Mauritius,-20.44,57.71,blueb,blue,,,930,,,[details],[edit]
SSC-bluf,Bluff,New Zealand,-46.6,168.35,,,129.0,72,213,2907,2844,[details],[edit]
SSC-blyt,Blyth,United Kingdom,55.12,-1.48,,,,,769,,,[details],[edit]
SSC-bmda,"Bermuda, St. Georges Is.",United Kingdom,32.37,-64.7,"bmda, bmda2",bmda,221.0,259,"368, 4, 886",641,2215,[details],[edit]
SSC-bmsa,Bahia Mansa,Chile,-40.58,-73.74,"bmsa, bmsa2",bmsa,,,,,,[details],[edit]
SSC-bnjl,Banjul,Gambia,13.44,-16.57,bnjl,,,,,,,[details],[edit]
SSC-boav,Boa Vista,Brazil,2.85,-60.7,,,,,,3073,,[details],[edit]
SSC-bodo,Bodo,Norway,67.29,14.39,,,,,562,,,[details],[edit]
SSC-bodr,Bodrum,Turkey,37.03,27.42,bodr,bodr,,,"1204, 1680",,,[details],[edit]
SSC-bogt,Bogota,Colombia,4.64,-74.08,,,,,,2410,,[details],[edit]
SSC-bolv,Bolvanskii Nos (Fedorova),Russia,70.45,59.08,,,,,651,,,[details],[edit]
SSC-boma,Boston,United States,42.36,-71.05,"boma, boma2",boma,,741,235,,,[details],[edit]
SSC-bomj,Bom Jesus Da Lapa,Brazil,-13.26,-68.01,,,,,,3074,,[details],[edit]
SSC-bona,Bonavista,Canada,49.08,-53.2,,,,,2135,,,[details],[edit]
SSC-bonn,Bonny,Nigeria,4.45,7.18,,,,,1039,,,[details],[edit]
SSC-bonz,Bonanza,Spain,36.8,-6.34,bon2,,,,1809,,,[details],[edit]
SSC-boob,Booby Island,Australia,-10.6,141.92,,,61.0,336,"1268, 1333",,2817,[details],[edit]
SSC-borg,Borgund,Norway,62.45,6.3,,,,,1969,,,[details],[edit]
SSC-bork,Borkum Fischerbalje,Germany,53.56,6.75,bork,,,,"1037, 573","1938, 2511, 639",2512,[details],[edit]
SSC-borw,Borowiec,Poland,52.1,17.07,,,,,,638,,[details],[edit]
SSC-bory,Boryeong,South Korea,36.41,126.49,,,,,1675,,,[details],[edit]
SSC-bota,Botany Bay,Australia,-33.98,151.22,,,,,"1525, 1533",,,[details],[edit]
SSC-bouc,Boucau-Bayonne,France,43.53,-1.51,"bouc, bouc2",bouc,,,1801,3192,"1734, 3482",[details],[edit]
SSC-boul,Boulogne-Sur-Mer,France,50.73,1.58,"boul, boul2",boul,,,471,3187,1735,[details],[edit]
SSC-bour,Bournemouth,United Kingdom,50.71,-1.87,bour,,,,1878,,,[details],[edit]
SSC-bourc,Bourcefranc le Chapus,France,45.85,-1.18,,,,,,,3495,[details],[edit]
SSC-bourk,Bourgas,Bulgaria,42.48,27.48,,,,,317,,,[details],[edit]
SSC-bout,Boutilier Point,Canada,44.67,-63.97,,,,,1259,,,[details],[edit]
SSC-bowe,Bowen,Australia,-20.02,148.25,,,,,"2074, 676",,,[details],[edit]
SSC-bozy,Bozyazi,Turkey,36.1,32.94,bozy,,,,2014,,,[details],[edit]
SSC-bpny,"Bergen Point, Staten Island",United States,40.64,-74.15,,bpny,,,1637,3312,3311,[details],[edit]
SSC-braz,Brasilia,Brazil,-15.95,-47.88,,,,,,640,,[details],[edit]
SSC-brem,Bremerhaven,Germany,53.55,8.57,,,,,"124, 625",2518,2517,[details],[edit]
SSC-bres,Brest,France,48.38,-4.5,bres,,242.0,822,1,"3180, 642",1736,[details],[edit]
SSC-brew,Brewster,United States,48.13,-119.68,,,,,,2411,,[details],[edit]
SSC-brid,Bridgetown Port,Barbados,13.11,-59.62,brid,brid,,249,"1231, 1766","2092, 634",2217,[details],[edit]
SSC-brig,Brighton,Australia,-35.03,138.52,,,,,677,,,[details],[edit]
SSC-brin,Brindisi,Italy,40.63,17.93,,,,,1478,,,[details],[edit]
SSC-bris,Brisbane,Australia,-27.37,153.17,,,58.0,331,"822, 851","3217, 3218",2815,[details],[edit]
SSC-broc,Broce,Croatia,42.82,17.72,,,,,893,,,[details],[edit]
SSC-brom,Broome,Australia,-18.0,122.22,brom,brom,40.0,166,"1159, 1171",3221,2806,[details],[edit]
SSC-bron,Bronnoysund,Norway,65.48,12.22,,,,,803,,,[details],[edit]
SSC-brou,Brouwershaven,Netherlands,51.73,3.9,,,,,"1507, 36",,,[details],[edit]
SSC-brpt,Barbers Point,United States,21.32,-158.12,brpt,brpt,,547,,,,[details],[edit]
SSC-brus,Brussels,Belgium,50.8,4.36,,,,,,"3011, 643",,[details],[edit]
SSC-btla,Bulk Terminal,United States,30.19,-93.3,,btla,,,,,,[details],[edit]
SSC-btny,The Battery (New York),United States,40.7,-74.02,"btny, btny2",btny,,745,"12, 232, 92",2722,2389,[details],[edit]
SSC-buca,Bucalemu,Chile,-34.64,-72.05,"buca, buca2, buca3",buca,,,,,,[details],[edit]
SSC-buck,Buckie,United Kingdom,57.67,-2.97,,,,,1281,,,[details],[edit]
SSC-bucke,"Bucksport, Waccamaw R.",United States,33.65,-79.1,,,,,1720,,,[details],[edit]
SSC-bueno,Buenos Aires,Argentina,-34.67,-58.5,,,,285,"157, 832","2045, 2486, 3240","2391, 2392",[details],[edit]
SSC-bues,Buesum,Germany,54.13,8.85,,,,,504,2520,2519,[details],[edit]
SSC-bugr,Bugrino,Russia,68.8,49.33,,,,,2025,,,[details],[edit]
SSC-buko,Bukom,Singapore,1.23,103.78,,,,,"1895, 2032",,,[details],[edit]
SSC-bull,Bullen Bay,Curacao,12.19,-69.02,"bull, will",bull,,878,,,,[details],[edit]
SSC-bunb,Bunbury,Australia,-33.32,115.66,,,,,"1042, 834",,,[details],[edit]
SSC-buor,Buorhaia (Buorhaia Mys),Russia,71.95,132.77,,,,,735,,,[details],[edit]
SSC-burn,Burnett Heads,Australia,-24.77,152.38,,,59.0,332,"1154, 1166",2927,2816,[details],[edit]
SSC-busa,Busan,South Korea,35.09,129.04,busa,busa,84.0,,955,2909,2830,[details],[edit]
SSC-bush,Bushehr,Iran,28.9,50.75,,,,,1939,,,[details],[edit]
SSC-buve,Buenaventura,Colombia,3.89,-77.08,"buve, buve2",buve,170.0,85,456,2046,2393,[details],[edit]
SSC-buzz,Buzzards Bay,United States,41.74,-70.62,,,,,776,,,[details],[edit]
SSC-bwde,Brandywine,United States,38.99,-75.11,,bwde,,,,,,[details],[edit]
SSC-bwla,Berwick,United States,29.67,-91.24,,bwla,,,,,,[details],[edit]
SSC-byko,Bykov Mys (Bykov Mys),Russia,72.0,129.12,,,,,1399,,,[details],[edit]
SSC-cabc,Carrie Bow Cay,Belize,16.8,-88.08,cabc,cabc,,,,,,[details],[edit]
SSC-cabo,Cabo San Lucas,Mexico,22.88,-109.91,cabo,cabo,161.0,34,1355,,2851,[details],[edit]
SSC-cabod,Cabo Cruz,Cuba,19.83,-77.73,,,,,1910,,,[details],[edit]
SSC-cabos,Cabo San Antonio,Cuba,21.9,-84.9,,,214.0,,1297,,2874,[details],[edit]
SSC-cadi,Cadiz,Spain,36.5,-6.2,cadi,cadi,,,"209, 514, 985","3055, 3460, 839","2182, 2397",[details],[edit]
SSC-cagl,Cagliari,Italy,39.21,9.11,CA02,cagl,,,"104, 2089","2412, 3575, 645",2252,[details],[edit]
SSC-cair,Cairns,Australia,-16.92,145.78,,,,,"953, 961",,,[details],[edit]
SSC-cala,Calais,France,50.97,1.87,"cala, cala2",cals,,,455,3539,1739,[details],[edit]
SSC-calao,Calabar,Nigeria,4.97,8.32,,,,,419,,,[details],[edit]
SSC-cald,Caldera,Chile,-27.06,-70.82,"cald, cald2",cald,,88,"1512, 619",,,[details],[edit]
SSC-cale,Caleta Percy,Chile,-52.9,-70.27,,,,,994,,,[details],[edit]
SSC-call,"Callao, La Punta",Peru,-12.07,-77.17,call,call,173.0,93,"1274, 480, 629, 739",2049,2120,[details],[edit]
SSC-calq,Calliaqua,Saint Vincent and the Grenadines,13.13,-61.2,calq,calq,,,2006,,,[details],[edit]
SSC-camb,Cambridge Bay,Canada,69.12,-105.07,,,,,1132,,,[details],[edit]
SSC-camp,Campbell River,Canada,50.02,-125.23,crbc,crbc,,,1323,3202,3201,[details],[edit]
SSC-camt,Lerma Campeche,Mexico,19.81,-90.59,camt,,,,,"2992, 2993",2991,[details],[edit]
SSC-camu,Caja de Muertos,Puerto Rico,17.89,-66.53,camu,camu,,,,,,[details],[edit]
